variant,token,correct,missing,substituted,total,error_rate
whisper-small,everyone,88,3,0,91,0.03296703296703296
whisper-large-v3-turbo,everyone,88,3,0,91,0.03296703296703296
whisper-large-v3-turbo,decline,294,7,3,304,0.03289473684210531
whisper-small,margins,265,6,3,274,0.03284671532846717
whisper-small,1.3,177,6,0,183,0.032786885245901676
whisper-large-v3-turbo,backlog,89,0,3,92,0.03260869565217395
whisper-large-v3-turbo,2.7,89,0,3,92,0.03260869565217395
whisper-large-v3-turbo,today,238,0,8,246,0.03252032520325199
whisper-large-v3-turbo,covid,388,3,10,401,0.032418952618453845
GPT-4o mini Transcribe,operations,270,5,4,279,0.032258064516129004
GPT-4o mini Transcribe,morning,180,0,6,186,0.032258064516129004
whisper-small,international,90,0,3,93,0.032258064516129004
whisper-large-v3-turbo,operations,270,7,2,279,0.032258064516129004
whisper-large-v3-turbo,international,90,0,3,93,0.032258064516129004
GPT-4o mini Transcribe,respectively,302,4,6,312,0.03205128205128205
GPT-4o mini Transcribe,expectations,91,3,0,94,0.03191489361702127
GPT-4o mini Transcribe,delivering,91,3,0,94,0.03191489361702127
whisper-large-v3-turbo,including,426,8,6,440,0.03181818181818186
whisper-large-v3-turbo,talked,61,0,2,63,0.031746031746031744
GPT-4o mini Transcribe,1.1,122,3,1,126,0.031746031746031744
whisper-large-v3-turbo,inr,183,6,0,189,0.031746031746031744
whisper-large-v3-turbo,october,92,0,3,95,0.03157894736842104
whisper-large-v3-turbo,colombia,92,3,0,95,0.03157894736842104
GPT-4o mini Transcribe,october,92,0,3,95,0.03157894736842104
whisper-large-v3-turbo,expectations,92,3,0,95,0.03157894736842104
whisper-small,health,92,3,0,95,0.03157894736842104
GPT-4o mini Transcribe,active,92,0,3,95,0.03157894736842104
GPT-4o mini Transcribe,could,215,1,6,222,0.03153153153153154
whisper-large-v3-turbo,numbers,185,0,6,191,0.03141361256544506
whisper-large-v3-turbo,lastly,62,0,2,64,0.03125
whisper-large-v3-turbo,central,93,0,3,96,0.03125
whisper-small,16,372,4,8,384,0.03125
whisper-large-v3-turbo,segments,155,2,3,160,0.03125
whisper-small,accounted,93,3,0,96,0.03125
whisper-small,central,93,0,3,96,0.03125
GPT-4o mini Transcribe,accounted,93,0,3,96,0.03125
whisper-large-v3-turbo,relative,63,1,1,65,0.03076923076923077
GPT-4o mini Transcribe,relative,63,1,1,65,0.03076923076923077
whisper-small,remained,126,0,4,130,0.03076923076923077
GPT-4o mini Transcribe,while,505,6,10,521,0.030710172744721653
GPT-4o mini Transcribe,lets,316,1,9,326,0.030674846625766916
whisper-small,active,95,3,0,98,0.030612244897959218
GPT-4o mini Transcribe,until,95,0,3,98,0.030612244897959218
GPT-4o mini Transcribe,12,855,21,6,882,0.030612244897959218
whisper-small,solutions,95,3,0,98,0.030612244897959218
whisper-small,percentage,576,15,3,594,0.030303030303030276
whisper-small,1.1,128,3,1,132,0.030303030303030276
whisper-large-v3-turbo,factors,96,3,0,99,0.030303030303030276
whisper-large-v3-turbo,percentage,576,12,6,594,0.030303030303030276
whisper-small,allocation,129,3,1,133,0.03007518796992481
whisper-small,great,97,3,0,100,0.030000000000000027
GPT-4o mini Transcribe,future,97,0,3,100,0.030000000000000027
GPT-4o mini Transcribe,achieved,196,0,6,202,0.02970297029702973
whisper-small,profitability,196,6,0,202,0.02970297029702973
whisper-small,most,131,1,3,135,0.029629629629629672
whisper-large-v3-turbo,however,197,6,0,203,0.029556650246305383
whisper-large-v3-turbo,quarterly,296,7,2,305,0.02950819672131144
whisper-large-v3-turbo,expecting,99,3,0,102,0.02941176470588236
GPT-4o mini Transcribe,factors,99,3,0,102,0.02941176470588236
whisper-small,expecting,99,0,3,102,0.02941176470588236
whisper-large-v3-turbo,different,99,3,0,102,0.02941176470588236
GPT-4o mini Transcribe,expecting,99,0,3,102,0.02941176470588236
whisper-large-v3-turbo,fy21,99,3,0,102,0.02941176470588236
whisper-small,factors,99,3,0,102,0.02941176470588236
GPT-4o mini Transcribe,47,99,0,3,102,0.02941176470588236
whisper-small,94,99,3,0,102,0.02941176470588236
whisper-large-v3-turbo,investments,199,3,3,205,0.029268292682926855
whisper-small,significantly,166,2,3,171,0.0292397660818714
whisper-large-v3-turbo,highest,100,3,0,103,0.029126213592232997
GPT-4o mini Transcribe,highest,100,0,3,103,0.029126213592232997
GPT-4o mini Transcribe,foreign,67,0,2,69,0.02898550724637683
GPT-4o mini Transcribe,risk,201,6,0,207,0.02898550724637683
whisper-large-v3-turbo,respectively,303,4,5,312,0.028846153846153855
GPT-4o mini Transcribe,16,373,4,7,384,0.02864583333333337
whisper-large-v3-turbo,starting,102,3,0,105,0.02857142857142858
GPT-4o mini Transcribe,report,68,0,2,70,0.02857142857142858
whisper-small,represent,102,0,3,105,0.02857142857142858
whisper-large-v3-turbo,future,103,0,3,106,0.028301886792452824
whisper-small,portfolio,172,3,2,177,0.02824858757062143
whisper-large-v3-turbo,portfolio,172,1,4,177,0.02824858757062143
GPT-4o mini Transcribe,segment,413,6,6,425,0.028235294117647025
whisper-large-v3-turbo,partners,69,1,1,71,0.028169014084507005
whisper-large-v3-turbo,risk,207,0,6,213,0.028169014084507005
whisper-small,every,69,0,2,71,0.028169014084507005
whisper-small,invested,104,3,0,107,0.028037383177570097
GPT-4o mini Transcribe,drivers,140,4,0,144,0.02777777777777779
whisper-small,41,105,3,0,108,0.02777777777777779
whisper-large-v3-turbo,each,105,3,0,108,0.02777777777777779
whisper-large-v3-turbo,drivers,140,4,0,144,0.02777777777777779
whisper-small,work,106,3,0,109,0.02752293577981646
whisper-small,segment,426,3,9,438,0.0273972602739726
whisper-small,sale,71,0,2,73,0.0273972602739726
whisper-large-v3-turbo,report,71,0,2,73,0.0273972602739726
GPT-4o mini Transcribe,believe,144,0,4,148,0.027027027027026973
whisper-large-v3-turbo,rise,144,3,1,148,0.027027027027026973
GPT-4o mini Transcribe,activity,108,0,3,111,0.027027027027026973
whisper-large-v3-turbo,46,108,0,3,111,0.027027027027026973
whisper-small,600,72,2,0,74,0.027027027027026973
GPT-4o mini Transcribe,estimate,217,3,3,223,0.026905829596412523
whisper-large-v3-turbo,im,181,1,4,186,0.026881720430107503
whisper-small,leverage,218,1,5,224,0.0267857142857143
whisper-large-v3-turbo,leverage,218,4,2,224,0.0267857142857143
GPT-4o mini Transcribe,show,109,0,3,112,0.0267857142857143
whisper-large-v3-turbo,initiatives,73,0,2,75,0.026666666666666616
GPT-4o mini Transcribe,slide,950,13,13,976,0.026639344262295084
whisper-large-v3-turbo,show,110,0,3,113,0.026548672566371723
whisper-large-v3-turbo,credit,184,4,1,189,0.02645502645502651
GPT-4o mini Transcribe,credit,184,1,4,189,0.02645502645502651
whisper-small,mean,258,3,4,265,0.026415094339622636
whisper-small,category,111,3,0,114,0.02631578947368418
whisper-small,here,333,3,6,342,0.02631578947368418
whisper-small,3.4,112,0,3,115,0.02608695652173909
GPT-4o mini Transcribe,monthly,113,3,0,116,0.025862068965517238
whisper-large-v3-turbo,monthly,113,3,0,116,0.025862068965517238
whisper-small,monthly,113,3,0,116,0.025862068965517238
whisper-large-v3-turbo,question,377,10,0,387,0.025839793281653756
GPT-4o mini Transcribe,leading,114,3,0,117,0.02564102564102566
GPT-4o mini Transcribe,page,267,0,7,274,0.025547445255474477
GPT-4o mini Transcribe,turn,191,1,4,196,0.025510204081632626
GPT-4o mini Transcribe,project,77,1,1,79,0.025316455696202556
GPT-4o mini Transcribe,should,347,6,3,356,0.0252808988764045
whisper-large-v3-turbo,asia,116,3,0,119,0.025210084033613467
GPT-4o mini Transcribe,least,117,3,0,120,0.025000000000000022
whisper-large-v3-turbo,digital,234,6,0,240,0.025000000000000022
GPT-4o mini Transcribe,figure,117,3,0,120,0.025000000000000022
whisper-large-v3-turbo,reduction,235,4,2,241,0.024896265560165998
GPT-4o mini Transcribe,current,314,1,7,322,0.024844720496894457
GPT-4o mini Transcribe,big,118,3,0,121,0.024793388429752095
whisper-large-v3-turbo,opportunities,79,2,0,81,0.024691358024691357
whisper-large-v3-turbo,america,158,0,4,162,0.024691358024691357
whisper-large-v3-turbo,beyond,119,3,0,122,0.024590163934426257
whisper-large-v3-turbo,other,600,9,6,615,0.024390243902439046
GPT-4o mini Transcribe,gmv,120,0,3,123,0.024390243902439046
GPT-4o mini Transcribe,account,120,3,0,123,0.024390243902439046
whisper-large-v3-turbo,loan,161,4,0,165,0.024242424242424288
GPT-4o mini Transcribe,loan,161,3,1,165,0.024242424242424288
whisper-large-v3-turbo,1.6,121,0,3,124,0.024193548387096753
whisper-large-v3-turbo,expense,202,3,2,207,0.024154589371980673
whisper-large-v3-turbo,similar,122,3,0,125,0.02400000000000002
GPT-4o mini Transcribe,forward,164,4,0,168,0.023809523809523836
GPT-4o mini Transcribe,1.6,124,3,0,127,0.023622047244094446
GPT-4o mini Transcribe,top,252,0,6,258,0.023255813953488413
GPT-4o mini Transcribe,program,169,3,1,173,0.023121387283236983
GPT-4o mini Transcribe,grow,257,0,6,263,0.02281368821292773
GPT-4o mini Transcribe,29,129,0,3,132,0.022727272727272707
GPT-4o mini Transcribe,most,129,3,0,132,0.022727272727272707
whisper-large-v3-turbo,until,86,0,2,88,0.022727272727272707
whisper-large-v3-turbo,mean,259,3,3,265,0.02264150943396226
whisper-small,customer,130,3,0,133,0.022556390977443663
whisper-small,respectively,305,4,3,312,0.022435897435897467
whisper-large-v3-turbo,margins,262,6,0,268,0.02238805970149249
GPT-4o mini Transcribe,move,131,0,3,134,0.02238805970149249
whisper-large-v3-turbo,best,88,1,1,90,0.022222222222222254
whisper-small,profile,89,2,0,91,0.02197802197802201
whisper-large-v3-turbo,saw,226,2,3,231,0.02164502164502169
whisper-small,combined,91,1,1,93,0.021505376344086002
whisper-large-v3-turbo,1.4,138,0,3,141,0.021276595744680882
whisper-small,1.4,138,0,3,141,0.021276595744680882
GPT-4o mini Transcribe,customer,139,3,0,142,0.021126760563380254
GPT-4o mini Transcribe,1.4,141,0,3,144,0.02083333333333337
whisper-small,off,190,0,4,194,0.020618556701030966
whisper-large-v3-turbo,4.3,95,0,2,97,0.020618556701030966
whisper-large-v3-turbo,resulted,96,0,2,98,0.020408163265306145
whisper-large-v3-turbo,31st,96,1,1,98,0.020408163265306145
GPT-4o mini Transcribe,declined,241,0,5,246,0.020325203252032575
whisper-small,corporate,98,0,2,100,0.020000000000000018
whisper-small,includes,147,0,3,150,0.020000000000000018
whisper-large-v3-turbo,area,149,3,0,152,0.019736842105263164
GPT-4o mini Transcribe,dividends,150,3,0,153,0.019607843137254943
whisper-small,categories,50,0,1,51,0.019607843137254943
whisper-large-v3-turbo,units,151,3,0,154,0.01948051948051943
GPT-4o mini Transcribe,units,151,2,1,154,0.01948051948051943
whisper-small,effect,152,0,3,155,0.01935483870967747
GPT-4o mini Transcribe,increases,153,2,1,156,0.019230769230769273
whisper-large-v3-turbo,continues,153,3,0,156,0.019230769230769273
whisper-large-v3-turbo,dividends,153,0,3,156,0.019230769230769273
whisper-large-v3-turbo,increases,153,2,1,156,0.019230769230769273
whisper-large-v3-turbo,say,313,3,3,319,0.018808777429467072
whisper-large-v3-turbo,date,211,0,4,215,0.018604651162790753
whisper-large-v3-turbo,europe,159,1,2,162,0.01851851851851849
whisper-large-v3-turbo,83,53,0,1,54,0.01851851851851849
GPT-4o mini Transcribe,including,426,1,7,434,0.018433179723502335
whisper-small,pl,54,1,0,55,0.018181818181818188
whisper-large-v3-turbo,commercial,162,3,0,165,0.018181818181818188
whisper-small,excellent,54,0,1,55,0.018181818181818188
GPT-4o mini Transcribe,leverage,217,3,1,221,0.018099547511312264
whisper-small,activity,109,1,1,111,0.018018018018018056
whisper-large-v3-turbo,currency,164,3,0,167,0.017964071856287456
GPT-4o mini Transcribe,track,55,0,1,56,0.017857142857142905
whisper-small,7.6,55,1,0,56,0.017857142857142905
GPT-4o mini Transcribe,commercial,165,3,0,168,0.017857142857142905
GPT-4o mini Transcribe,outlook,222,1,3,226,0.017699115044247815
GPT-4o mini Transcribe,constant,167,3,0,170,0.01764705882352946
whisper-small,track,56,0,1,57,0.01754385964912286
GPT-4o mini Transcribe,anticipate,56,1,0,57,0.01754385964912286
whisper-small,anticipate,56,1,0,57,0.01754385964912286
whisper-large-v3-turbo,anticipate,56,1,0,57,0.01754385964912286
GPT-4o mini Transcribe,here,338,0,6,344,0.01744186046511631
whisper-large-v3-turbo,forward,169,3,0,172,0.01744186046511631
whisper-large-v3-turbo,constant,170,3,0,173,0.017341040462427793
GPT-4o mini Transcribe,direct,57,0,1,58,0.017241379310344862
GPT-4o mini Transcribe,may,173,0,3,176,0.017045454545454586
GPT-4o mini Transcribe,8.7,58,0,1,59,0.016949152542372836
GPT-4o mini Transcribe,61,58,0,1,59,0.016949152542372836
whisper-large-v3-turbo,assume,58,1,0,59,0.016949152542372836
whisper-large-v3-turbo,8.7,58,1,0,59,0.016949152542372836
whisper-large-v3-turbo,main,235,0,4,239,0.01673640167364021
whisper-large-v3-turbo,small,59,0,1,60,0.01666666666666672
GPT-4o mini Transcribe,im,177,0,3,180,0.01666666666666672
GPT-4o mini Transcribe,run,59,0,1,60,0.01666666666666672
whisper-large-v3-turbo,although,60,0,1,61,0.016393442622950838
GPT-4o mini Transcribe,annualized,60,0,1,61,0.016393442622950838
whisper-large-v3-turbo,1.3,180,3,0,183,0.016393442622950838
whisper-small,run,60,0,1,61,0.016393442622950838
whisper-large-v3-turbo,run,60,1,0,61,0.016393442622950838
GPT-4o mini Transcribe,administrative,61,1,0,62,0.016129032258064502
whisper-small,assume,61,1,0,62,0.016129032258064502
whisper-large-v3-turbo,couple,61,1,0,62,0.016129032258064502
whisper-small,administrative,61,1,0,62,0.016129032258064502
whisper-small,couple,61,1,0,62,0.016129032258064502
GPT-4o mini Transcribe,couple,61,1,0,62,0.016129032258064502
whisper-large-v3-turbo,pesos,369,6,0,375,0.016000000000000014
whisper-large-v3-turbo,opportunity,62,0,1,63,0.015873015873015928
GPT-4o mini Transcribe,july,62,0,1,63,0.015873015873015928
whisper-large-v3-turbo,once,62,0,1,63,0.015873015873015928
GPT-4o mini Transcribe,back,436,3,4,443,0.015801354401805856
whisper-small,drive,63,0,1,64,0.015625
whisper-small,lastly,63,1,0,64,0.015625
GPT-4o mini Transcribe,pesos,378,6,0,384,0.015625
GPT-4o mini Transcribe,initiatives,63,0,1,64,0.015625
whisper-large-v3-turbo,hope,64,0,1,65,0.01538461538461533
whisper-large-v3-turbo,supply,64,1,0,65,0.01538461538461533
GPT-4o mini Transcribe,profitability,193,3,0,196,0.015306122448979553
whisper-small,minus,195,0,3,198,0.015151515151515138
whisper-small,64,130,1,1,132,0.015151515151515138
whisper-large-v3-turbo,800,66,1,0,67,0.014925373134328401
GPT-4o mini Transcribe,sale,66,0,1,67,0.014925373134328401
GPT-4o mini Transcribe,numbers,200,0,3,203,0.014778325123152691
GPT-4o mini Transcribe,online,67,0,1,68,0.014705882352941124
GPT-4o mini Transcribe,supply,67,1,0,68,0.014705882352941124
whisper-small,provision,67,1,0,68,0.014705882352941124
whisper-small,supply,67,1,0,68,0.014705882352941124
whisper-large-v3-turbo,online,67,0,1,68,0.014705882352941124
whisper-small,raised,67,1,0,68,0.014705882352941124
whisper-small,online,67,1,0,68,0.014705882352941124
whisper-small,54,68,0,1,69,0.01449275362318836
GPT-4o mini Transcribe,proceeds,68,1,0,69,0.01449275362318836
GPT-4o mini Transcribe,54,68,0,1,69,0.01449275362318836
whisper-large-v3-turbo,54,68,0,1,69,0.01449275362318836
whisper-large-v3-turbo,guess,69,1,0,70,0.014285714285714235
GPT-4o mini Transcribe,partners,70,0,1,71,0.014084507042253502
GPT-4o mini Transcribe,remaining,70,0,1,71,0.014084507042253502
whisper-large-v3-turbo,proceeds,71,0,1,72,0.01388888888888884
whisper-small,reasons,71,1,0,72,0.01388888888888884
whisper-small,sga,71,0,1,72,0.01388888888888884
whisper-small,does,71,1,0,72,0.01388888888888884
GPT-4o mini Transcribe,across,214,0,3,217,0.01382488479262678
whisper-large-v3-turbo,north,72,1,0,73,0.013698630136986356
GPT-4o mini Transcribe,north,72,0,1,73,0.013698630136986356
whisper-small,north,72,0,1,73,0.013698630136986356
whisper-small,gave,73,0,1,74,0.013513513513513487
whisper-large-v3-turbo,sustainable,73,0,1,74,0.013513513513513487
GPT-4o mini Transcribe,other,589,0,8,597,0.01340033500837523
whisper-large-v3-turbo,remaining,74,0,1,75,0.013333333333333308
whisper-small,double,223,0,3,226,0.013274336283185861
GPT-4o mini Transcribe,double,225,0,3,228,0.013157894736842146
whisper-large-v3-turbo,double,226,0,3,229,0.013100436681222738
whisper-small,saw,228,0,3,231,0.012987012987012991
GPT-4o mini Transcribe,europe,154,0,2,156,0.012820512820512775
whisper-large-v3-turbo,trailing,77,1,0,78,0.012820512820512775
GPT-4o mini Transcribe,segments,157,0,2,159,0.012578616352201255
whisper-large-v3-turbo,0.4,79,0,1,80,0.012499999999999956
whisper-large-v3-turbo,generating,79,1,0,80,0.012499999999999956
whisper-small,generating,79,0,1,80,0.012499999999999956
GPT-4o mini Transcribe,0.4,79,0,1,80,0.012499999999999956
whisper-small,declined,237,0,3,240,0.012499999999999956
whisper-small,0.4,79,0,1,80,0.012499999999999956
whisper-large-v3-turbo,flows,80,0,1,81,0.012345679012345734
GPT-4o mini Transcribe,opportunities,80,1,0,81,0.012345679012345734
GPT-4o mini Transcribe,flows,80,0,1,81,0.012345679012345734
whisper-small,flows,80,1,0,81,0.012345679012345734
GPT-4o mini Transcribe,gas,161,2,0,163,0.012269938650306789
whisper-large-v3-turbo,service,242,0,3,245,0.01224489795918371
GPT-4o mini Transcribe,service,245,0,3,248,0.012096774193548376
whisper-small,71,82,1,0,83,0.012048192771084376
whisper-large-v3-turbo,together,82,0,1,83,0.012048192771084376
whisper-large-v3-turbo,targets,82,0,1,83,0.012048192771084376
GPT-4o mini Transcribe,margins,250,0,3,253,0.011857707509881465
whisper-large-v3-turbo,110,85,1,0,86,0.011627906976744207
GPT-4o mini Transcribe,best,89,1,0,90,0.011111111111111072
GPT-4o mini Transcribe,trend,89,0,1,90,0.011111111111111072
GPT-4o mini Transcribe,tier,90,1,0,91,0.01098901098901095
whisper-large-v3-turbo,combined,92,1,0,93,0.010752688172043001
GPT-4o mini Transcribe,closed,93,0,1,94,0.010638297872340385
GPT-4o mini Transcribe,2.2,93,0,1,94,0.010638297872340385
GPT-4o mini Transcribe,covid,378,4,0,382,0.010471204188481686
GPT-4o mini Transcribe,4.3,96,0,1,97,0.010309278350515427
GPT-4o mini Transcribe,resulted,97,0,1,98,0.010204081632653073
GPT-4o mini Transcribe,solutions,97,0,1,98,0.010204081632653073
whisper-small,2.2,99,0,1,100,0.010000000000000009
GPT-4o mini Transcribe,3.3,101,0,1,102,0.009803921568627416
whisper-large-v3-turbo,2.9,101,0,1,102,0.009803921568627416
GPT-4o mini Transcribe,focus,102,0,1,103,0.009708737864077666
GPT-4o mini Transcribe,starting,106,0,1,107,0.009345794392523366
whisper-large-v3-turbo,my,215,1,1,217,0.009216589861751112
whisper-large-v3-turbo,areas,112,0,1,113,0.008849557522123908
whisper-large-v3-turbo,set,113,1,0,114,0.00877192982456143
whisper-large-v3-turbo,short,114,0,1,115,0.008695652173912993
GPT-4o mini Transcribe,short,117,0,1,118,0.008474576271186418
whisper-large-v3-turbo,sequentially,118,1,0,119,0.008403361344537785
whisper-small,sequentially,118,1,0,119,0.008403361344537785
whisper-large-v3-turbo,remained,129,0,1,130,0.007692307692307665
GPT-4o mini Transcribe,64,131,0,1,132,0.007575757575757569
whisper-large-v3-turbo,1.1,131,0,1,132,0.007575757575757569
GPT-4o mini Transcribe,remained,132,0,1,133,0.007518796992481258
whisper-large-v3-turbo,2025,135,1,0,136,0.007352941176470562
whisper-large-v3-turbo,global,138,0,1,139,0.007194244604316502
whisper-small,rise,147,1,0,148,0.006756756756756799
GPT-4o mini Transcribe,continues,154,0,1,155,0.006451612903225823
